번호,단어,의미
1602,affection,"애착, 애정"
1603,bid,말하다
1604,compost,"퇴비, 두엄 퇴비를 만들다, 두엄을 끼얹다"
1605,temperament,기질
1606,rent,임대료 임대하다
1607,shred,조각조각으로 찢다
1608,unpredictable,예측할 수 없는
1609,tribute,경의의 표시
1610,artery,동맥
1611,inherent,내재하는
1612,harass,희롱하다
1613,narrative,"서술의, 이야기로 이루어진 이야기"
1614,assemble,"모으다, 조립하다"
1615,spike,"못, 뾰족한것"
1616,sneak,몰래 들어가다
1617,sophisticated,"세련된, 정교한"
1618,handle,"처리하다, 다루다"
1619,enlightenment,깨달음
1620,cosmetic,"화장품 허울뿐인, 표면적인"
1621,gracious,상냥한
1622,aspire,열망하다
1623,obstruct,"방해하다, 가로막다"
1624,patrol,"순찰, 순찰병"
1625,accelerate,"가속하다, 촉진하다"
1626,heatstroke,일사병
1627,oval,타원형의 타원형
1628,veteran,"베테랑, 참전용사"
1629,trail,"흔적, 오솔길 끌다, 추적하다"
1630,vocation,"천직, 직업"
1631,vegetarian,채식주의자
1632,decode,해독하다
1633,fellow,"친구, 동료 동료의"
1634,mandate,"권한, 명령 권한을 부여하다, 명령하다"
1635,perish,"소멸하다, 죽다"
1636,inseparable,떼어낼 수 없는
1637,domain,"영역, 도메인"
1638,statesman,정치인
1639,connotation,"함축, 내포"
1640,stereotype,"인습, 고정관념"
1641,hollow,속이 빈
1642,structural,"구조상의, 구조적인"
1643,mortgage,담보 저당잡히다
1644,inject,"주사하다, 주입하다"
1645,crisis,위기
1646,latter,"나중의, 후자의 (둘 중에서) 후자"
1647,illuminate,계몽하다
1648,mimic,흉내내다
1649,unearth,발굴하다
1650,wail,"울부짖다, 한탄하다"
1651,shudder,"(공포, 추위로) 떨다 떨림"
1652,stride,성큼성큼 걷다
1653,applicant,지원자
1654,disprove,반증하다
1655,distrub,방해하다
1656,hemisphere,"(지구, 뇌의) 반구"
1657,recur,재발하다
1658,elastic,탄력있는 고무줄
1659,counterpart,대응 하는 것
1660,stubborn,"완고한, 고집 센"
1661,suicide,자살
1662,lure,유혹하다 매력
1663,underprivileged,혜택받지 못한
1664,morale,"사기, 의욕"
1665,examine,"조사하다, 검사하다"
1666,compromise,타협하다 타협
1667,foremost,주요한
1668,precaution,"예방조치, 조심"
1669,torture,고문 고문하다
1670,entrust,위임하다
1671,sway,"흔들다, 동요시키다"
1672,religious,"종교의, 신앙심이 깊은"
1673,obligation,"의무, 책임"
1674,pest,"해충, 유해동물"
1675,subdue,완화하다
1676,incorporate,통합하다
1677,regime,"정권, 제도"
1678,terminate,끝내다
1679,rebel,반역을 일으키다
1680,meanwhile,한편
1681,folklore,민속
1682,vast,방대한
1683,preliminary,"예비의, 준비의 예비 단계, 예선"
1684,theft,절도
1685,painkiller,진통제
1686,amend,수정하다
1687,recess,"휴식, 휴업"
1688,exploit,이용하다
1689,autonomy,"자율, 자치"
1690,outfit,복장과 장비
1691,mourn,애도하다
1692,evoke,이끌어내다
1693,burden,부담 ~에게 부담을 지우다
1694,latitude,위도
1695,patch,"조각, 작은 땅 덧대다, 때우다"
1696,maternal,모성의
1697,pharmacy,"약국, 약학"
1698,marine,"바다의, 해양의"
1699,prestigious,명성이 있는
1700,friction,"마찰, 충돌"
1701,defend,방어하다
1702,fraud,"사기, 사기꾼"
1703,easygoing,태평스러운
1704,insomnia,불면증
1705,intermediate,"중급의, 중간의 중급자"
1706,transport,수송하다 수송
1707,paradigm,"패러다임, 사고체계"
1708,charge,"요금, 책임 (요금을) 청구하다"
1709,rapid,빠른
1710,premature,조산한
1711,pollute,오염시키다
1712,altruism,이타주의
1713,fiber,섬유질
1714,irony,"아이러니, 비꼼, 반어법"
1715,spectator,"관중, 구경꾼"
1716,medieval,중세의
1717,analogy,유사성
1718,snatch,잡아채다
1719,anthropology,인류학
1720,outline,간략히 기술하다
1721,slogan,"슬로건, 선전 문구"
1722,composure,"침착, 평정"
1723,incurable,"불치의, 구제 불능의 불치 환자"
1724,parallel,"평행의, 유사한 평행선 유사하다"
1725,indulge,탐닉하다.충족시키다
1726,meadow,"목초지, 초원"
1727,venture,모험하다 모험
1728,deflect,"빗나가다, 빗나가게 하다, 막다"
1729,adorable,"귀여운, 사랑스러운"
1730,complacent,"(스스로) 만족해하는, 현실에 안주하는"
1731,explicit,"명백한, 분명한"
1732,sturdy,"견고한, 튼튼한"
1733,primate,영장류
1734,patron,"후원자, 단골 손님"
1735,endure,"참다, 인내하다, 견디다"
1736,manifest,"명백하게 하다, 증명하다 명백한"
1737,imperial,"제국의, 황제의"
1738,duration,"지속, 지속 기간"
1739,populate,거주시키다
1740,frugal,"검소한, 절약하는"
1741,registration,"기재, 등록"
1742,rejoice,크게 기뻐하다
1743,comprise,"포함하다, 구성하다"
1744,textile,"직물의, 방직의 직물"
1745,lurk,"숨다, 잠복하다"
1746,humanity,"인류, 인간성, 인간애"
1747,approximate,(수량 등이) ~에 가까워지다 대략의
1748,revenge,복수 복수하다
1749,sarcastic,"비꼬는, 풍자적인"
1750,terrain,"지형, 지역, 분야, 범위"
1751,toll,"사용세, 통행료, 종소리 요금으로 징수하다"
1752,warfare,"전쟁, 전투, 교전 상태"
1753,mortal,"죽을 운명의, 치명적인 인간"
1754,spouse,배우자
1755,crispy,"바삭바삭한, 부서지기 쉬운"
1756,statistical,"통계적인, 통계상의"
1757,rubbish,"쓰레기, 폐기물 혹평하다"
1758,stimulus,"자극, 격려"
1759,clumsy,"서투른, 어색한"
1760,subsequent,"다음의, 그 이후의"
1761,relevant,"관련된, 적절한"
1762,predator,"포식자, 약탈자, 육식 동물"
1763,drain,"물을 빼내다, 소모시키다 배수관"
1764,countless,"셀 수 없는, 무수한"
1765,condense,"농축하다, 요약하다"
1766,post,"(벽 따위에) 붙이다, 우편"
1767,poise,"균형을 잡다 균형, 평정"
1768,disciple,"제자, 문하생"
1769,gust,"돌풍, 질풍"
1770,collective,"집합적인, 집단적인 집단"
1771,scope,"(관찰, 활동의) 범위, 시야 조사하다"
1772,compatible,"양립할 수 있는, 모순이 없는"
1773,border,"경계, 가장자리, 국경 인접하다"
1774,frontier,"국경 국경의, 최첨단의"
1775,withhold,"억누르다, 억제하다, 보류하다"
1776,verdict,"판결, 결정"
1777,stall,"마구간, 우리 핑계를 대다"
1778,apparatus,"장치, 기구, 조직"
1779,hail,"우박, 싸락눈 우박이 내리다"
1780,outburst,"폭발, 분출"
1781,vanity,"허영심, 허무함"
1782,firsthand,"직접의 직접, 바로"
1783,obesity,"비만, 비대"
1784,dilemma,"진퇴양난, 딜레마, 궁지"
1785,render,"~이 되게 하다, 주다, 제공하다"
1786,indispensable,필수 불가결한 없어서는 안 될 것
1787,outdated,"구식의, 시대에 뒤진"
1788,bother,"일부러~ 하다, 괴롭히다"
1789,counteract,"(효력을) 중화시키다, 약화시키다"
1790,static,"정적인, 고정된"
1791,sustain,"유지하다, 지탱하다"
1792,posture,"자세, 태도"
1793,discourse,"담화, 강연"
1794,bribe,뇌물 뇌물을 주다
1795,retention,"보유, 기억력"
1796,valiant,"용감한, 용맹스런"
1797,distress,"고민, 고통 ~을 괴롭히다"
1798,nursery,"육아실, 탁아소"
1799,juggle,"잘 처리하다, 저글링하다"
1800,perspiration,"땀, 노력"
1801,encircle,"에워싸다, 둘러싸다"
1802,notion,"개념, 의견"
1803,disgust,혐오감 역겹게 하다
1804,fragment,"일부분, 부서진 조각 산산이 부서지다"
1805,oversee,"감독하다, 감시하다"
1806,creep,"기다, (덩굴 등이) 얽히다 포복, 서행"
1807,clarify,명백히 하다
1808,contagious,"전염성의, 감염성의"
1809,deterioration,"악화, (가치의) 하락, 저하"
1810,currency,"통화, 통용"
1811,janitor,"문지기, 관리인, (건물) 경비원"
1812,blush,"얼굴을 붉히다, 부끄러워 하다"
1813,intervene,"끼어들다, 개입하다, 방해하다"
1814,nomad,"유목민, 방랑자"
1815,cuisine,"요리, 요리법"
1816,dare,감히 ~하다
1817,solvent,"용해력이 있는, 지불 능력이 있는 용제, 용액"
1818,cultivate,"경작하다, 양성하다, 계발하다"
1819,ascent,"상승, 오름"
1820,advocate,"옹호자, 지지자 지지하다"
1821,spur,"자극, 고무 ~을 자극하다, (말에) 박차를 가하다"
1822,discern,"식별하다, 분별하다, ~을 인식하다"
1823,scheme,"계획, 체계 계획하다"
1824,weigh,무게를 달다
1825,publicity,"널리 알려짐, 명성, 광고, 선전"
1826,declare,"선언하다, (세관에) 신고하다"
1827,brisk,"활발한, 번창하는, 상쾌한"
1828,exile,"망명, 망명자 망명시키다"
1829,whisper,속삭이다 속삭임
1830,fling,"내던지다, 돌진하다"
1831,deviation,"변경, 일탈"
1832,dissolve,"용해하다, 해산하다, 해소하다"
1833,constraint,"강제, 압박, 제약"
1834,itch,"가려움, 가렵다, (~하고 싶어) 못 견디다"
1835,unanimous,"만장일치의, 합의의"
1836,delude,"속이다, 착각하게 하다"
1837,dehydrate,"탈수하다, 건조시키다"
1838,underneath,"[전] ~의 아래에, 밑에"
1839,metabolism,"물질대사, 신진대사"
1840,appoint,"임명[지명]하다, (시간, 장소를) 정하다"
1841,pinch,"꼬집다, 집다, 죄다"
1842,punctual,시간을 지키는
1843,arbitrary,"임의적인, 독단적인"
1844,catastrophe,"대참사, 재앙"
1845,exert,"(힘, 영향력을) 가하다, 발휘하다"
1846,aviate,"조종하다, 비행하다"
1847,headquarters,"본사, 본부"
1848,rectangular,"직사각형의, 직각의"
1849,deledate,"파견하다 사절, 대표"
1850,elect,선출하다
1851,thorn,가시
1852,empathize,공감하다
1853,expertise,전문 지식
1854,renovate,"~을 새것으로 만들다, 수리하다"
1855,wrench,"비틀다, 삐다 렌치, 쓰라림"
1856,interval,"간격, 사이"
1857,degrade,"저하시키다, 비하하다, 분해하다"
1858,report,"보고서, 말대꾸 보고하다, 발표하다"
1859,asthma,천식
1860,realm,"영역, 왕국"
1861,segment,"부분, 조각"
1862,coexist,공존하다
1863,hospitality,"환대, 후한 대접"
1864,estate,"재산, 토지"
1865,displace,"옮겨 놓다, 대체하다"
1866,cripple,"불구자, 지체 부자유자 ~을 불구로 만들다, 손상시키다"
1867,drawback,"문제점, 결점, 장애"
1868,tactics,"방안, 전술"
1869,dread,"두려워하다, 무서워하다 두려움, 공포"
1870,dispute,"논쟁하다, 토의하다 논쟁, 분쟁"
1871,console,위로하다
1872,stack,"더미, 산더미 쌓아 올리다"
1873,cynical,"냉소적인, 비관적인"
1874,reprove,"꾸짖다, 책망하다"
1875,verify,입증하다
1876,engross,열중하게 하다
1877,bulk,"크기, 부피, 대부분 부피가 커지다, 덩어리가 되다"
1878,despise,경멸하다
1879,manuscript,"원고, 필사본"
1880,flee,달아나다
1881,prehistoric,선사시대의
1882,barrel,"통, 배럴"
1883,predecessor,"이전 형태, 전임자"
1884,alienate,"소외시키다, 멀리하다"
1885,preclaim,"선언하다, 선포하다"
1886,subordinate,"하위의, 부차적인 하급자 하위에 두다"
1887,furnish,"(가구를) 비치하다, 제공하다, 갖추다"
1888,fume,"씩씩대다, 연기를 내뿜다 연기"
1889,staple,"주된, 주요한 주성분"
1890,dimension,"크기, 측면, 치수, 차원"
1891,dispersal,"분산, 확산"
1892,eloquent,"웅변의, 달변의, 연설을 잘 하는, 표현이 풍부한"
1893,innermost,가장 깊숙한 가장 깊은 부분
1894,hazardous,"위험한, 해로운"
1895,skull,두개골
1896,detergent,세제
1897,brutal,"야만적인, 잔혹한"
1898,rash,"반점, 발진 경솔한"
1899,bypass,우회로 우회하다
1900,accommodate,"수용하다, 적응하다"
1901,tact,"재치, 기지"
1902,monotonous,"단조로운, 지루한"
1903,perpetual,"영원한, 끊임없는"
1904,eligible,"~을 할 수 있는, 유능한, 자격의, 자격이 있는"
1905,legacy,"유물, 유산"
1906,melancholy,우울한 우울함
1907,simplicity,"단순함, 간단"
1908,hierarchy,"계층, 계급, 지배층, 체계"
1909,reside,거주하다
1910,enact,"제정하다, 상영하다"
1911,burnout,"극도의 피로, 쇠진"
1912,legitimate,"타당한, 합법적인, 정당한"
1913,shuffle,"발을 끌며 걷다, 뒤섞다"
1914,summarize,요약하다
1915,eject,"쫓아내다, 튀어나오게 하다"
1916,intersection,"교차로, 교차함"
1917,quest,"탐색, 탐구, 추구, 찾음"
1918,linear,"직선의, 길이의"
1919,landslide,"산사태, (선거에서) 압도적 승리"
1920,plausible,"그럴듯한, 이치에 맞는"
1921,endow,"기부하다, ~에게 부여하다"
1922,extrinsic,"외적인, 외부의"
1923,merge,"합병하다, 차차 변하다"
1924,frantic,"광란의, 미친"
1925,moan,"신음, 투덜거림 신음하다, 불평하다"
1926,merchandise,(집학적) 상품 거래하다
1927,respectively,"각각, 저마다"
1928,yearn,"그리워하다, 열망하다"
1929,conviction,"확신, 유죄 판결"
1930,stout,"뚱뚱한, (옷 등이) 튼튼한"
1931,reckon,"세다, 계산하다, 생각하다"
1932,enchant,"매혹하다, ~에게 마법을 걸다"
1933,entail,"수반하다, 의미하다, 필요로 하다"
1934,demolish,"파괴하다, 폐지하다"
1935,degenerate,"퇴보하다, 타락하다"
1936,sentiment,"감상, 정서"
1937,offspring,"자식, 새끼, 성과"
1938,detest,"혐오하다, 미워하다"
1939,tackle,"(일, 문제를) 다루다, 처리하다 도구, (축구의) 태클"
1940,defy,"물리치다, (공공연히) 무시하다, 반항하다"
1941,inference,추론
1942,refraction,"(빛, 소리 따위의) 굴절"
1943,dusk,"땅거미, 어스름"
1944,detach,"떼어내다, 분리하다"
1945,antagonist,"적대자, 라이벌"
1946,thrust,"밀다, 밀치다, 찌르다"
1947,creed,"신념, (종교의) 교의"
1948,equate,"동일시하다, 일치하다"
1949,misplace,잘못두다
1950,auditory,"귀의, 청각의, 음향의"
1951,missionary,선교사
1952,cosmopolitan,"세계적인, 세계주의의 세계인, 국제인"
1953,secondhand,"중고의, 간접적인"
1954,multiple,"복합적인, 다수의, 다양한 (수학) 배수"
1955,embed,"깊숙이 박다, 깊이 간직하다, 내재하다"
1956,propel,"나아가게 하다, 추진하다"
1957,reptile,파충류
1958,erosion,"부식, 침식"
1959,feat,"위업, 공적, 솜씨"
1960,utensil,"가정용품, 기구, 도구"
1961,penetrate,"관통하다, 꿰뚫다, 침투하다"
1962,intrude,"침범하다, 방해하다"
1963,notable,"주목할 만한, 유명한"
1964,grumble,"불평하다, 투덜거리다 불평"
1965,landfill,쓰레기 매립지
1966,scrutiny,"(정밀) 조사, 철저한 검토"
1967,reckless,"무모한, 부주의한, 신중하지 못한"
1968,synthetic,"합성의, 종합적인"
1969,productive,"생산하는, 생산적인"
1970,outset,"착수, 발단, 시작, 처음"
1971,peril,위험
1972,pitfall,"위험, 함정"
1973,kidnap,납치하다 유괴
1974,liable,"책임이 있는, ~하기 쉬운"
1975,insane,"정신 이상의, 미친, 비상식적인"
1976,rage,격노 격노하다
1977,radius,반지름
1978,hybrid,"잡종, 혼합물"
1979,uncover,"폭로하다, 덮개를 벗기다"
1980,limb,"사지, 팔다리, 나뭇가지"
1981,setback,"좌절, 차질, 방해, 실패"
1982,prudent,신중한
1983,solidify,"굳어지다, 굳히다, 확고히 하다"
1984,grudge,"원한, 유감"
1985,lessen,줄이다
1986,tangle,"얽히게 하다, 혼란시키다"
1987,subsidy,"보조금, 장려금"
1988,ambiguous,"애매모호한, 불명확한"
1989,enthusiasm,"열광, 열정, 열광하는 대상"
1990,bankruptcy,파산
1991,pollination,수분
1992,prosper,"번영하다, 번창하다"
1993,phase,단계
1994,veterinarian,수의사
1995,counterattack,"반격, 연습 반격하다, 역습하다"
1996,cumulative,누적되는
1997,infrastructure,"(사회) 기반 시설, 하부 조직"
1998,wound,"상처를 입히다, 부상하게 하다 부상, 상처"
1999,discrete,별개의
2000,fluctuation,"변동, 동요"
